UPM,VIV_SEL,P1_1,P1_2,P1_3,P1_4,P1_5_1,P1_5_2,P1_5_3,P2_1,P2_2,P2_3,FAC_VIV,UPM_DIS,EST_DIS,DOMINIO,TLOC,ESTRATO,ENT
100003,1,3,1,1,1,1,1,1,3,1,,245,1,8,U,1,4,1
100003,2,3,1,1,1,1,1,1,3,1,,245,1,8,U,1,4,1
100003,3,3,1,1,1,1,1,1,3,1,,245,1,8,U,1,4,1
100003,4,3,1,1,1,1,1,1,2,1,,245,1,8,U,1,4,1
100003,5,3,1,1,1,1,1,1,4,1,,245,1,8,U,1,4,1
100004,1,3,1,1,1,1,1,2,5,1,,170,2,6,U,1,2,1
100004,2,2,1,1,1,1,1,2,1,1,,170,2,6,U,1,2,1
100004,3,2,1,1,1,1,1,2,4,1,,170,2,6,U,1,2,1
100004,4,2,1,1,1,2,2,2,3,1,,170,2,6,U,1,2,1
100004,5,3,1,1,1,2,1,2,2,1,,170,2,6,U,1,2,1
100012,3,3,1,1,1,1,1,1,3,1,,180,3,7,U,1,3,1
100012,4,3,1,1,1,1,1,1,3,1,,180,3,7,U,1,3,1
100012,5,3,1,1,1,1,1,1,2,1,,180,3,7,U,1,3,1
100023,1,3,1,1,1,1,1,1,4,1,,198,4,7,U,1,3,1
100023,2,3,1,1,1,1,2,2,2,1,,198,4,7,U,1,3,1
100023,3,3,1,1,1,1,1,1,3,1,,198,4,7,U,1,3,1
100023,4,3,1,1,1,1,1,1,5,1,,198,4,7,U,1,3,1
100023,5,3,1,1,1,1,1,1,4,1,,198,4,7,U,1,3,1
100029,1,3,1,1,1,1,1,1,10,1,,205,5,6,U,1,2,1
100029,2,3,1,1,1,1,1,2,1,1,,205,5,6,U,1,2,1
100029,3,3,1,1,1,1,1,2,5,1,,205,5,6,U,1,2,1
100029,4,3,1,1,1,1,1,1,3,1,,205,5,6,U,1,2,1
100029,5,3,1,1,1,1,1,1,3,1,,205,5,6,U,1,2,1
100036,1,3,1,1,1,1,2,2,2,1,,187,6,7,U,1,3,1
100036,3,2,1,1,1,1,1,2,2,1,,187,6,7,U,1,3,1
100036,4,2,1,1,1,1,2,2,1,1,,187,6,7,U,1,3,1
100036,5,3,1,1,1,1,1,1,5,1,,187,6,7,U,1,3,1
100061,1,3,1,1,1,1,2,2,2,1,,179,7,6,U,1,2,1
100061,2,3,1,1,1,1,1,2,3,1,,179,7,6,U,1,2,1
100061,3,2,1,1,1,1,1,2,3,1,,179,7,6,U,1,2,1
100061,4,3,1,1,1,1,1,1,3,1,,179,7,6,U,1,2,1
100061,5,3,1,1,1,1,1,1,6,1,,179,7,6,U,1,2,1
100067,1,3,1,1,1,1,1,1,2,1,,226,8,8,U,1,4,1
100071,1,2,1,1,1,1,1,2,4,1,,181,9,6,U,1,2,1
100071,2,3,1,1,1,1,1,2,3,1,,181,9,6,U,1,2,1
100071,3,3,1,1,1,1,1,1,4,1,,181,9,6,U,1,2,1
100071,4,2,1,1,1,1,1,2,4,1,,181,9,6,U,1,2,1
100071,5,2,1,1,1,2,1,2,2,1,,181,9,6,U,1,2,1
100075,1,2,1,1,1,1,1,1,4,1,,201,10,7,U,1,3,1
100075,3,3,1,1,1,1,1,1,2,1,,201,10,7,U,1,3,1
100075,4,3,1,1,1,1,1,2,1,1,,201,10,7,U,1,3,1
100075,5,3,1,1,1,1,1,1,1,1,,201,10,7,U,1,3,1
100091,1,2,1,1,1,1,1,2,2,1,,152,11,6,U,1,2,1
100091,2,2,1,1,1,1,1,2,1,1,,152,11,6,U,1,2,1
