COLUMNA,DESCRIPCION,TIPO_DATO,LONGITUD,CODIGO_VALIDO,METADATOS,
UPM,Unidad primaria de muestreo,Varchar,7,[0100003-3260797],Unidad primaria de muestreo,
VIV_SEL,Vivienda seleccionada ,Varchar,2,[01-41],Vivienda seleccionada ,
HOGAR,Número de Hogar en la vivienda,Varchar,2,[01-05],Número de Hogar en la vivienda,
NUM_REN,Número de renglón,Varchar,2,[01-16],Número de renglón,
EDAD,Edad del elegido,Numeric,2,[0-99], ,
P8_1,8.1 ¿Dispone usted de celular?,Varchar,1,[1-2],"1 Sí, 2 No",
P8_2,8.2 ¿Por qué no dispone de un celular (común o Smartphone)?,Varchar,1,[1-8],"1 Por falta de recursos económicos, 2 No le interesa o no lo necesita, 3 No hay servicio en su localidad (falta de infraestructura, cobertura de red), 4 Por razones relacionadas con la privacidad o seguridad, 5 No sabe utilizarlo, 6 No le permiten usarlo, 7 Por discapacidad física o menta,l 8 Otra razón",
P8_2A,8.2 ¿Por qué no dispone de un celular (común o Smartphone)? Especifique,Varchar,100,[A-Z], ,
P8_3,"8.3 En los últimos tres meses, ¿ha usado usted teléfono celular común o inteligente (Smartphone)?",Varchar,1,[1-2],"1 Sí, 2 No",
P8_4_1,8.4 ¿El celular que usa es… común?,Varchar,1,[1-2],"1 Sí, 2 No",
P8_4_2,8.4 ¿El celular que usa es… inteligente (Smartphone)?,Varchar,1,[1-2],"1 Sí, 2 No",
P8_5_1,8.5 ¿Cuántos celulares utiliza del… común?,Numeric,3,[1-9],  ,
P8_5_2,8.5 ¿Cuántos celulares utiliza del… inteligente (Smartphone)?,Numeric,3,[1-9], ,
P8_6,"8.6 En los últimos tres meses, ¿con qué frecuencia utilizó el celular para hacer o recibir llamadas?",Varchar,1,[1-4],"1 Diario (7 días a la semana), 2 Al menos una vez a la semana, 3 Una vez al mes, 4 Con otra frecuencia menor",
P8_7_1,8.7 El servicio de celular ¿lo paga por… recarga de tiempo de aire (prepago)?,Varchar,1,"[1-2,9]","1 Sí, 2 No, 9 No sabe",
P8_7_2,8.7 El servicio de celular ¿lo paga por… paquetes (prepago)?,Varchar,1,"[1-2,9]","1 Sí, 2 No, 9 No sabe",
P8_7_3,8.7 El servicio de celular ¿lo paga por… plan tarifario (pospago)?,Varchar,1,"[1-2,9]","1 Sí, 2 No, 9 No sabe",
P8_8,8.8 ¿Cuál es su gasto promedio del mes en celular?,Numeric,4,[10-9999],  ,
P8_9,8.9 ¿Se encuentra satisfecha(o) o insatisfecha(o) con el servicio para hacer o recibir llamadas (servicio de voz)?,Varchar,1,"[1-2,8]","1 Satisfecha(o), 2 Insatisfecha(o), 8 No quiso o no supo responder",
P8_10_1,8.10  ¿Usa su teléfono celular común o inteligente (Smartphone)… para actividades laborales?,Varchar,1,[1-2],"1 Sí, 2 No",
P8_10_2,8.10  ¿Usa su teléfono celular común o inteligente (Smartphone)… para actividades escolares?,Varchar,1,[1-2],"1 Sí, 2 No",
P8_10_3,8.10  ¿Usa su teléfono celular común o inteligente (Smartphone)… como medio de capacitación independiente?,Varchar,1,[1-2],"1 Sí, 2 No",
P8_10_4,8.10  ¿Usa su teléfono celular común o inteligente (Smartphone)… para entretenimiento?,Varchar,1,[1-2],"1 Sí, 2 No",
P8_10_5,8.10  ¿Usa su teléfono celular común o inteligente (Smartphone)… para comunicarse?,Varchar,1,[1-2],"1 Sí, 2 No",
P8_10_6,8.10  ¿Usa su teléfono celular común o inteligente (Smartphone)… para realizar compras o ventas por internet?,Varchar,1,[1-2],"1 Sí, 2 No",
P8_10_7,8.10  ¿Usa su teléfono celular común o inteligente (Smartphone)… Otro uso,Varchar,1,[1-2],"1 Sí, 2 No",
P8_10A,8.10  ¿Usa su teléfono celular común o inteligente (Smartphone)… Otro uso Especifique,Varchar,100,[A-Z], ,
P8_11,8.11 ¿Se conecta a por medio de su celular inteligente (Smartphone)? Wifi?,Varchar,1,[1-2],"1 Sí, 2 No",
P8_12_1,8.12 ¿Se conecta a Internet mediante… Wifi?,Varchar,1,[1-2],"1 Sí, 2 No",
P8_12_2,8.12 ¿Se conecta a Internet mediante… red celular (conexión de datos)?,Varchar,1,[1-2],"1 Sí, 2 No",
P8_13_1,"8.13 ¿Ha usado aplicaciones para... mensajería instantánea (WhatsApp, Messenger, Telegram, etcétera)?",Varchar,1,[1-2],"1 Sí, 2 No",
P8_13_2,"8.13 ¿Ha usado aplicaciones para... acceder a contenidos de audio y video (YouTube, Spotify, Deezer, etcétera)?",Varchar,1,[1-2],"1 Sí, 2 No",
P8_13_3,"8.13 ¿Ha usado aplicaciones para...  adquirir bienes o servicios (Cabify, Mercado Libre, Rappi, Uber, etcétera)?",Varchar,1,[1-2],"1 Sí, 2 No",
P8_13_4,"8.13 ¿Ha usado aplicaciones para... tránsito y navegación asistida (Google Maps, Waze, etcétera)?",Varchar,1,[1-2],"1 Sí, 2 No",
P8_13_5,"8.13 ¿Ha usado aplicaciones para... jugar (Pokemon Go, Candy Crush, etcétera)?",Varchar,1,[1-2],"1 Sí, 2 No",
P8_13_6,"8.13 ¿Ha usado aplicaciones para... acceder a redes sociales (Facebook, Instagram, Twitter, etcétera)?",Varchar,1,[1-2],"1 Sí, 2 No",
P8_13_7,"8.13 ¿Ha usado aplicaciones para... acceder a Banca Móvil (Bancomer, Banamex, etcétera)?",Varchar,1,[1-2],"1 Sí, 2 No",
P8_13_8,8.13 ¿Ha usado aplicaciones para... editar fotos o videos?,Varchar,1,[1-2],"1 Sí, 2 No",
P8_13_9,8.13 ¿Ha usado aplicaciones para... Otras aplicaciones?,Varchar,1,[1-2],"1 Sí, 2 No",
P8_13A,8.13 ¿Ha usado aplicaciones para...  Otras aplicaciones Especifique,Varchar,100,[A-Z],  ,
P8_14,8.14 ¿Ha instalado alguna aplicación en su celular inteligente (Smartphone)?,Varchar,1,"[1-2,9]","1 Sí, 2 No, 9 No sabe",
P8_15_1,8.15 ¿Las aplicaciones que ha instalado son… gratuitas?,Varchar,1,"[1-2,9]","1 Sí, 2 No, 9 No sabe",
P8_15_2,8.15 ¿Las aplicaciones que ha instalado son… con costo?,Varchar,1,"[1-2,9]","1 Sí, 2 No, 9 No sabe",
P8_16_1,"8.16 ¿Ha instalado aplicaciones para… mensajería instantánea (WhatsApp, Messenger, Telegram, etcétera)?",Varchar,1,[1-2],"1 Sí, 2 No",
P8_16_2,"8.16 ¿Ha instalado aplicaciones para… acceder a contenidos de audio y video (YouTube, Spotify, Deezer, etcétera)?",Varchar,1,[1-2],"1 Sí, 2 No",
P8_16_3,"8.16 ¿Ha instalado aplicaciones para…  adquirir bienes o servicios (Cabify, Mercado Libre, Rappi, Uber, etcétera)?",Varchar,1,[1-2],"1 Sí, 2 No",
P8_16_4,"8.16 ¿Ha instalado aplicaciones para… tránsito y navegación asistida (Google Maps, Waze, etcétera)?",Varchar,1,[1-2],"1 Sí, 2 No",
P8_16_5,"8.16 ¿Ha instalado aplicaciones para… jugar (Pokemon Go, Candy Crush, etcétera)?",Varchar,1,[1-2],"1 Sí, 2 No",
P8_16_6,"8.16 ¿Ha instalado aplicaciones para… acceder a redes sociales (Facebook, Instagram, Twitter, etcétera)?",Varchar,1,[1-2],"1 Sí, 2 No",
P8_16_7,"8.16 ¿Ha instalado aplicaciones para… acceder a Banca Móvil (Bancomer, Banamex, etcétera)?",Varchar,1,[1-2],"1 Sí, 2 No",
P8_16_8,8.16 ¿Ha instalado aplicaciones para… editar fotos o videos?,Varchar,1,[1-2],"1 Sí, 2 No",
P8_16_9,8.16 ¿Ha instalado aplicaciones para… Otras aplicaciones?,Varchar,1,[1-2],"1 Sí, 2 No",
P8_16A,8.16 ¿Ha instalado aplicaciones para… Otras aplicaciones Especifique,Varchar,100,[A-Z],  ,
P8_17,8.17 Generalmente ¿Con qué frecuencia hace uso de Internet con el celular inteligente (Smartphone)?,Varchar,1,[1-6],"1 Diario (7 días a la semana), 2 Al menos una vez a la semana, 3 Una vez cada quince días, 4 Una vez al me,s 5 Al menos una vez cada seis mese,s 6 Al menos una vez al año",
P8_18,8.18 ¿Se encuentra satisfecha(o) o insatisfecha(o) con el servicio de datos (conexión de red) de su celular inteligente (Smartphone)?,Varchar,1,"[1-2,8]","1 Satisfecha(o), 2 Insatisfecha(o), 8 No quiso o no supo responder",
P9_1,"9.1 En la última semana, ¿usted escuchó la radio?",Varchar,1,[1-2],"1 Sí, 2 No",
P9_2,9.2 ¿Por qué razón no escuchó la radio la semana pasada?,Varchar,1,[1-5],"1 No le interesa o no lo necesita 2 No cuenta con ningún aparato o dispositivo 3 No hay servicio en su localidad (falta de infraestructura, cobertura de red) 4 Por discapacidad física o mental 5 Otra razón",
P9_2A,9.2 ¿Por qué razón no escuchó la radio la semana pasada? Otra razón Especifique,Varchar,100,[A-Z],,
P9_3_1,9.3 ¿Las estaciones que escucha son a través de la banda… AM?,Varchar,1,[1-2],"1 Sí, 2 No",
P9_3_2,9.3 ¿Las estaciones que escucha son a través de la banda… FM?,Varchar,1,[1-2],"1 Sí, 2 No",
P9_4,"9.4 Principalmente, ¿qué dispositivo utilizó para escuchar la radio la semana pasada?",Varchar,1,[1-7],1 Estéreo/grabadora 2 Radio del automóvil/transporte 3 Radio portátil 4 Teléfono celular 5 Tablet 6 Computadora 7 Otro,
P9_4A,"9.4 Principalmente, ¿qué dispositivo utilizó para escuchar la radio la semana pasada? Otro Especifique",Varchar,100,[A-Z],,
P9_5,"9.5 Principalmente, ¿dónde escuchó la radio la semana pasada?",Varchar,1,[1-5],1 Hogar 2 Automóvil 3 Transporte público 4 Trabajo 5 Otro,
P9_5A,"9.5 Principalmente, ¿dónde escuchó la radio la semana pasada? Otro Especifique",Varchar,100,[A-Z],,
P9_6,"9.6 En promedio, ¿cuántas horas al día dedicó a escuchar la radio la semana pasada?",Varchar,2,[01-12],"01 Una hora o menos, 12 Doce horas o más",
P9_7,"9.7 En la última semana, ¿vió televisión abierta?",Varchar,1,[1-2],"1 Sí, 2No",
P9_8,9.8 ¿Por qué razón no vio televisión abierta la semana pasada?,Varchar,1,[1-5],"1 No le interesa o no lo necesita 2 No cuenta con ningún aparato de Televisión 3 No hay servicio en su localidad (falta de infraestructura, cobertura de red) 4 Por discapacidad física o mental 5 Otra razón",
P9_8A,9.8 ¿Por qué razón no vio televisión abierta la semana pasada? Otra razón Especifique,Varchar,100,[A-Z],,
P9_9,"9.9 En promedio, ¿cuántas horas al día dedicó a ver televisión abierta la semana pasada?",Varchar,2,[01-12],"01 Una hora o menos, 12 Doce horas o más",
FAC_PER,Factor,Numeric,6,[63-36045],Factor,
UPM_DIS,Unidad primaria de muestreo,Varchar,5,[00001-08234],Unidad primaria de muestreo,
EST_DIS,Estrato de diseño muestral,Varchar,3,[001-341],Estrato de diseño muestral,
DOMINIO,Población rural y urbana,Varchar,1,"[U,R]",Población rural y urbana,
TLOC,Tamaño de la Localidad,Varchar,1,[1-4],"1 100,000 y más habitantes, 2 15,000 a 99,999 habitantes, 3 2,500 a 14,999 habitantes, 4 menor a 2500 habitantes",
ESTRATO,Estrato socioeconómico,Varchar,1,[1-4],1 Bajo 2 Medio bajo 3 Medio alto 4 Alto,
PAREN,3.3 ¿Qué es (NOMBRE) del jefe(a) del hogar?,Varchar,1,[1-6],"1 Jefe(a), 2 Esposo(a) o compañero(a), 3 Hijo(a), 4 Nieto(a), 5 Otro parentesco, 6 Sin parentesco",
SEXO,3.4 (NOMBRE) es hombre (NOMBRE) es mujer,Varchar,1,[1-2],"1 Hombre, 2 Mujer",
NIVEL,3.8 ¿Hasta qué año o grado aprobó (NOMBRE) en la escuela? Nivel,Varchar,2,"[00-11, 99]","00 Ninguno, 01 Preescolar o kínder, 02 Primaria, 03 Secundaria, 04 Normal básica, 05 Estudio técnico terminal con secundaria, 06 Preparatoria o bachillerato, 07 Estudio técnico superior con preparatoria terminada, 08 Licenciatura o ingeniería, 09 Especialidad, 10 Maestría, 11 Doctorado, 99 No sabe",
GRADO,3.8 ¿Hasta qué año o grado aprobó (NOMBRE) en la escuela? Grado,Varchar,1,[0-9], ,
ENT,Entidad ,Varchar,2,[01-32],01-32 Entidad Federativa,
