COLUMNA,DESCRIPCION,TIPO_DATO,LONGITUD,CODIGO_VALIDO,METADATOS
UPM,Unidad primaria de muestreo,Varchar,7,[0100003-3260797],Unidad primaria de muestreo
VIV_SEL,Vivienda seleccionada ,Varchar,2,[01-41],Vivienda seleccionada 
HOGAR,Número de Hogar en la vivienda,Varchar,2,[01-05],Número de Hogar en la vivienda
NUM_REN,Número de renglón,Varchar,2,[01-13],Número de renglón
EDAD,Edad del elegido,Numeric,2,[0-99], 
P6_1,"6.1 En los últimos tres meses, ¿utilizó computadora, laptop o tablet en este hogar o fuera de él?",Varchar,1,[1-2],"1 Sí, 2 No"
P6_2_1,6.2 ¿Usted usa… computadora de escritorio?,Varchar,1,[1-2],"1 Sí, 2 No"
P6_2_2,"6.2 ¿Usted usa… computadora portátil (laptop, notebook)?",Varchar,1,[1-2],"1 Sí, 2 No"
P6_2_3,6.2 ¿Usted usa… tablet?,Varchar,1,[1-2],"1 Sí, 2 No"
P6_3,"6.3 ¿Por qué no utiliza computadora, laptop o tablet?",Varchar,1,[1-8],"1 No tiene acceso a una, aunque sabe utilizarla, 2 No sabe utilizarla, 3 No le interesa o no la necesita, 4 Por falta de recursos económicos, 5 Usa su teléfono celular inteligente (Smartphone), 6 Desconoce su utilidad, 7 Por discapacidad física o menta,l 8 Otra razón"
P6_3A,"6.3 ¿Por qué no utiliza computadora, laptop o tablet? Especifique",Varchar,100,[A-Z], 
P6_4,"6.4 Generalmente, ¿cuántos días a la semana usa la computadora, laptop o tablet?",Varchar,1,[1-5],"1 Diario (7 días a la semana), 2 Al menos una vez a la semana, 3 Al menos una vez al mes, 4 Al menos una vez cada tres meses, 5 Con otra frecuencia menor"
P6_5,"6.5 ¿Cuántas horas al día usa la computadora, laptop o tablet? (cuando la utiliza)",Varchar,2,[01-12],"01 Una hora o menos, 12 Doce horas o más"
P6_6_1,"6.6 ¿Cómo aprendió a utilizar la computadora, laptop o tablet? Por cuenta propia",Varchar,1,[1-2],"1 Sí, 2 No"
P6_6_2,"6.6 ¿Cómo aprendió a utilizar la computadora, laptop o tablet? En el trabajo",Varchar,1,[1-2],"1 Sí, 2 No"
P6_6_3,"6.6 ¿Cómo aprendió a utilizar la computadora, laptop o tablet? En la escuela",Varchar,1,[1-2],"1 Sí, 2 No"
P6_6_4,"6.6 ¿Cómo aprendió a utilizar la computadora, laptop o tablet? En cursos pagados fuera de la escuela",Varchar,1,[1-2],"1 Sí, 2 No"
P6_6_5,"6.6 ¿Cómo aprendió a utilizar la computadora, laptop o tablet? En cursos gratuitos fuera de la escuela",Varchar,1,[1-2],"1 Sí, 2 No"
P6_6_6,"6.6 ¿Cómo aprendió a utilizar la computadora, laptop o tablet? Con parientes, amigos, conocidos o vecinos",Varchar,1,[1-2],"1 Sí, 2 No"
P6_6_7,"6.6 ¿Cómo aprendió a utilizar la computadora, laptop o tablet? Otro modo",Varchar,1,[1-2],"1 Sí, 2 No"
P6_6A,"6.6 ¿Cómo aprendió a utilizar la computadora, laptop o tablet? Otro modo Especifique",Varchar,100,[A-Z], 
P6_7_1,"6.7 ¿La computadora, laptop o tablet la utiliza en… el hogar?",Varchar,1,[1-2],"1 Sí, 2 No"
P6_7_2,"6.7 ¿La computadora, laptop o tablet la utiliza en… el trabajo?",Varchar,1,[1-2],"1 Sí, 2 No"
P6_7_3,"6.7 ¿La computadora, laptop o tablet la utiliza en… la escuela o institución educativa?",Varchar,1,[1-2],"1 Sí, 2 No"
P6_7_4,"6.7 ¿La computadora, laptop o tablet la utiliza en… un sitio público con costo?",Varchar,1,[1-2],"1 Sí, 2 No"
P6_7_5,"6.7 ¿La computadora, laptop o tablet la utiliza en… un sitio público sin costo?",Varchar,1,[1-2],"1 Sí, 2 No"
P6_7_6,"6.7 ¿La computadora, laptop o tablet la utiliza en… casa de otra persona (amigo o familiar)?",Varchar,1,[1-2],"1 Sí, 2 No"
P6_7_7,"6.7 ¿La computadora, laptop o tablet la utiliza en… cualquier otro lugar con una portátil?",Varchar,1,[1-2],"1 Sí, 2 No"
P6_7_8,"6.7 La computadora, laptop o tablet la utiliza en… Otro lugar",Varchar,1,[1-2],"1 Sí, 2 No"
P6_7A,"6.7 La computadora, laptop o tablet la utiliza en… Otro lugar Especifique",Varchar,100,[A-Z], 
P6_8_1,"6.8 Con la computadora, laptop o tablet, ¿usted sabe… enviar y recibir correo electrónico?",Varchar,1,[1-2],"1 Sí, 2 No"
P6_8_2,"6.8 Con la computadora, laptop o tablet, ¿usted sabe… descargar contenidos de internet (música, videos, documentos, etcétera)?",Varchar,1,[1-2],"1 Sí, 2 No"
P6_8_3,"6.8 Con la computadora, laptop o tablet, ¿usted sabe… copiar archivos entre directorios (carpetas)?",Varchar,1,[1-2],"1 Sí, 2 No"
P6_8_4,"6.8 Con la computadora, laptop o tablet, ¿usted sabe… crear archivos de texto?",Varchar,1,[1-2],"1 Sí, 2 No"
P6_8_5,"6.8 Con la computadora, laptop o tablet, ¿usted sabe… crear hojas de cálculo?",Varchar,1,[1-2],"1 Sí, 2 No"
P6_8_6,"6.8 Con la computadora, laptop o tablet, ¿usted sabe… crear presentaciones?",Varchar,1,[1-2],"1 Sí, 2 No"
P6_8_7,"6.8 Con la computadora, laptop o tablet, ¿usted sabe… instalar dispositivos periféricos (impresora, proyector, etcétera)?",Varchar,1,[1-2],"1 Sí, 2 No"
P6_8_8,"6.8 Con la computadora, laptop o tablet, ¿usted sabe… crear o usar base de datos?",Varchar,1,[1-2],"1 Sí, 2 No"
P6_8_9,"6.8 Con la computadora, laptop o tablet, ¿usted sabe… programar en lenguaje especializado?",Varchar,1,[1-2],"1 Sí, 2 No"
P6_8_10,"6.8 Con la computadora, laptop o tablet, ¿usted sabe… otras habilidades?",Varchar,1,[1-2],"1 Sí, 2 No"
P6_8A,"6.8 Con la computadora, laptop o tablet, ¿usted sabe… otras habilidades? Especifique",Varchar,100,[A-Z], 
P6_9_1," 6.9 ¿Para qué usa la computadora, laptop o tablet? Para actividades laborales",Varchar,1,[1-2],"1 Sí, 2 No"
P6_9_2,"6.9 ¿Para qué usa la computadora, laptop o tablet? Para labores escolares",Varchar,1,[1-2],"1 Sí, 2 No"
P6_9_3,"6.9 ¿Para qué usa la computadora, laptop o tablet? Como medio de capacitación",Varchar,1,[1-2],"1 Sí, 2 No"
P6_9_4,"6.9 ¿Para qué usa la computadora, laptop o tablet? Para entretenimiento",Varchar,1,[1-2],"1 Sí, 2 No"
P6_9_5,"6.9 ¿Para qué usa la computadora, laptop o tablet? Para acceso a internet",Varchar,1,[1-2],"1 Sí, 2 No"
P6_9_6,"6.9 ¿Para qué usa la computadora, laptop o tablet? Otro uso",Varchar,1,[1-2],"1 Sí, 2 No"
P6_9A,"6.9 ¿Para qué usa la computadora, laptop o tablet?Otro uso Especifique",Varchar,100,[A-Z],  
P7_1,"7.1 En los últimos tres meses, ¿ha utilizado Internet en este hogar o fuera de él?",Varchar,1,[1-2],"1 Sí, 2 No"
P7_2,7.2 ¿Por qué no utiliza Internet?,Varchar,1,[1-8],"1 No tiene acceso, aunque sabe utilizarlo, 2 No sabe utilizarlo, 3 No le interesa o no lo necesita, 4 Por falta de recursos económicos, 5 Por discapacidad física o mental, 6 Por razones relacionadas con la privacidad o seguridad, 7 No le permiten usarlo, 8 Otra razón"
P7_2A,7.2 ¿Por qué no utiliza Internet? Otra razón Especifique,Varchar,100,[A-Z], 
P7_3,"7.3 Generalmente, ¿con qué frecuencia hace uso del Internet?",Varchar,1,[1-5],"1 Diario (7 día a la semana), 2 Al menos una vez a la semana, 3 Al menos una vez al mes, 4 Al menos una vez cada tres meses, 5 Con otra frecuencia menor"
P7_4,"7.4 En promedio, ¿cuántas horas al día utiliza Internet?",Varchar,2,[01-12],"01 Una hora o menos, 12 Doce horas o más"
P7_5_1,7.5 ¿Se conecta a Internet por medio de… computadora de escritorio?,Varchar,1,[1-2],"1 Sí, 2 No"
P7_5_2,"7.5 ¿Se conecta a Internet por medio de… computadora portátil (laptop, notebook)?",Varchar,1,[1-2],"1 Sí, 2 No"
P7_5_3,7.5 ¿Se conecta a Internet por medio de… tablet?,Varchar,1,[1-2],"1 Sí, 2 No"
P7_5_4,7.5 ¿Se conecta a Internet por medio de… celular inteligente (Smartphone)?,Varchar,1,[1-2],"1 Sí, 2 No"
P7_5_5,"7.5 ¿Se conecta a Internet por medio de… televisión con acceso a Internet (Smart TV), o algún dispositivo conectado a ésta?",Varchar,1,[1-2],"1 Sí, 2 No"
P7_5_6,7.5 ¿Se conecta a Internet por medio de… consola de videojuego?,Varchar,1,[1-2],"1 Sí, 2 No"
P7_5_7,7.5 ¿Se conecta a Internet por medio de… Otro equipo?,Varchar,1,[1-2],"1 Sí, 2 No"
P7_5A,7.5 ¿Se conecta a Internet por medio de… Otro equipo? Especifique,Varchar,100,[A-Z], 
P7_6,7.6 ¿Desde hace cuánto tiempo utiliza Internet?,Varchar,1,[1-5],"1 Menos de 1 año, 2 Entre 1 y hasta 2 años, 3 Más de 2 y hasta 5 años, 4 Más de 5 años, 5 No recuerda"
P7_7_1,7.7 ¿Ha utilizado internet en… el hogar ?,Varchar,1,[1-2],"1 Sí, 2 No"
P7_7_2,7.7 ¿Ha utilizado internet en… el trabajo?,Varchar,1,[1-2],"1 Sí, 2 No"
P7_7_3,7.7 ¿Ha utilizado internet en… la escuela o institución educativa?,Varchar,1,[1-2],"1 Sí, 2 No"
P7_7_4,7.7 ¿Ha utilizado internet en… un sitio público con costo?,Varchar,1,[1-2],"1 Sí, 2 No"
P7_7_5,7.7 ¿Ha utilizado internet en… un sitio público sin costo?,Varchar,1,[1-2],"1 Sí, 2 No"
P7_7_6,7.7 ¿Ha utilizado internet en… casa de otra persona (amigo o familiar)?,Varchar,1,[1-2],"1 Sí, 2 No"
P7_7_7,7.7 ¿Ha utilizado internet en… cualquier lugar mediante una conexión móvil (incluye Smartphone)?,Varchar,1,[1-2],"1 Sí, 2 No"
P7_7_8,7.7 ¿Ha utilizado internet en… Otro lugar?,Varchar,1,[1-2],"1 Sí, 2 No"
P7_7A,7.7 ¿Ha utilizado internet en… Especifique,Varchar,100,[A-Z], 
P7_8_1,"7.8 En los últimos tres meses, ¿ha buscado en Internet información sobre… salud?",Varchar,1,[1-2],"1 Sí, 2 No"
P7_8_2,"7.8 En los últimos tres meses, ¿ha buscado en Internet información sobre… empleos, bolsas de trabajo (solo para elegido de 15 años o más)?",Varchar,1,[1-2],"1 Sí, 2 No"
P7_8_3,"7.8 En los últimos tres meses, ¿ha buscado en Internet información sobre… educación, investigación o tareas?",Varchar,1,[1-2],"1 Sí, 2 No"
P7_8_4,"7.8 En los últimos tres meses, ¿ha buscado en Internet información sobre… viajes, hoteles y vuelos?",Varchar,1,[1-2],"1 Sí, 2 No"
P7_8_5,"7.8 En los últimos tres meses, ¿ha buscado en Internet información sobre… páginas de blogs?",Varchar,1,[1-2],"1 Sí, 2 No"
P7_8_6,"7.8 En los últimos tres meses, ¿ha buscado en Internet información sobre… cursos en línea?",Varchar,1,[1-2],"1 Sí, 2 No"
P7_8_7,"7.8 En los últimos tres meses, ¿ha buscado en Internet información sobre… bienes o servicios?",Varchar,1,[1-2],"1 Sí, 2 No"
P7_8_8,"7.8 En los últimos tres meses, ¿ha buscado en Internet información sobre… rutas y ubicación (GPS)?",Varchar,1,[1-2],"1 Sí, 2 No"
P7_8_9,"7.8 En los últimos tres meses, ¿ha buscado en Internet información sobre… clima?",Varchar,1,[1-2],"1 Sí, 2 No"
P7_8_10,"7.8 En los últimos tres meses, ¿ha buscado en Internet información sobre… otro tipo de información?",Varchar,1,[1-2],"1 Sí, 2 No"
P7_8A,"7.8 En los últimos tres meses, ¿ha buscado en Internet información sobre… otro tipo de información? Especifique",Varchar,100,[A-Z], 
P7_9_1,"7.9 En los últimos tres meses, ¿ha utilizado el Internet para… realizar capacitación para el trabajo?",Varchar,1,[1-2],"1 Sí, 2 No"
P7_9_2,"7.9 En los últimos tres meses, ¿ha utilizado el Internet para… tomar cursos para complementar la educación (como apoyo al estudio)?",Varchar,1,[1-2],"1 Sí, 2 No"
P7_9_3,"7.9 En los últimos tres meses, ¿ha utilizado el Internet para… tomar tutoriales sobre cualquier tema de interés (a través de YouTube o de otras plataformas o aplicaciones)?",Varchar,1,[1-2],"1 Sí, 2 No"
P7_9_4,"7.9. En los últimos tres meses, ¿ha utilizado el Internet para… otro tipo de capacitaciones?",Varchar,1,[1-2],"1 Sí, 2 No"
P7_9A,"7.9 En los últimos tres meses, ¿ha utilizado el Internet para… otro tipo de capacitaciones? Especifique",Varchar,100,[A-Z], 
P7_10_1,"7.10 En los últimos tres meses, ¿ha utilizado el internet para… enviar correos electrónicos?",Varchar,1,[1-2],"1 Sí, 2 No"
P7_10_2,"7.10 En los últimos tres meses, ¿ha utilizado el internet para… realizar conversaciones telefónicas (a través de Skype o WhatsApp)?",Varchar,1,[1-2],"1 Sí, 2 No"
P7_10_3,"7.10 En los últimos tres meses, ¿ha utilizado el internet para… enviar mensajes instantáneos (WhatsApp, Messenger, Twitter, etcétera)?",Varchar,1,[1-2],"1 Sí, 2 No"
