COLUMNA,DESCRIPCION,TIPO_DATO,LONGITUD,CODIGO_VALIDO,METADATOS
UPM,Unidad primaria de muestreo,Varchar,7,[0100003-3260797],Unidad primaria de muestreo
VIV_SEL,Vivienda seleccionada,Varchar,2,[01-41],Vivienda seleccionada 
P1_1,1.1 ¿De qué material es la mayor parte del piso de esta vivienda?,Varchar,1,[1-3],"1 Tierra, 2 Cemento o firme, 3 Madera, mosaico u otro recubrimiento"
P1_2,1.2 ¿En esta vivienda tienen…,Varchar,1,[1-6],"1 agua entubada dentro de la vivienda?, 2 agua entubada fuera de la vivienda, pero dentro del terreno?, 3 agua entubada de llave pública (o hidrante)?, 4  agua entubada que acarrean de otra vivienda?, 5 agua de pipa?, 6 agua de un pozo, río, arroyo, lago u otro?"
P1_3,1.3 ¿En esta vivienda tienen drenaje o desagüe conectado a…,Varchar,1,[1-5],"1 la red pública?, 2 una fosa séptica?, 3 una tubería que va a dar a una barranca o grieta?, 4 una tubería que va a dar a un río, lago o mar?, 5 ¿No tiene drenaje?"
P1_4,1.4 ¿Disponen de energía eléctrica?,Varchar,1,[1-2],"1 Sí, 2 No"
P1_5_1,1.5 ¿En esta vivienda disponen de refrigerador?,Varchar,1,[1-2],"1 Sí, 2 No"
P1_5_2,1.5 ¿En esta vivienda disponen de lavadora?,Varchar,1,[1-2],"1 Sí, 2 No"
P1_5_3,1.5 ¿En esta vivienda disponen de automóvil o camioneta?,Varchar,1,[1-2],"1 Sí, 2 No"
P2_1,2.1 ¿Cuántas personas viven normalmente en está vivienda contando a los niños chiquitos y a los ancianos? (Incluya también a los trabajadores domésticos  que viven aquí),Numeric,2,[1-19],Total de personas en la vivienda 
P2_2,2.2 ¿Todas las personas que viven en esta vivienda comparten un mismo gasto para comer?,Varchar,1,[1-2],"1 Sí, 2 No"
P2_3,"2.3 Entonces, ¿cuántos hogares o grupos de personas tienen gasto separado para comer contando el de usted?",Numeric,2,[2-5],Número de hogares en la vivienda
FAC_VIV,Factor,Numeric,5,[38-7188],Factor
UPM_DIS,Unidad primaria de muestreo,Varchar,7,[00001-08234],Unidad primaria de muestreo
EST_DIS,Estrato de diseño muestral,Varchar,3,[001-341],Estrato de diseño muestral
DOMINIO,Población rural y urbana,Varchar,1,"[U,R]",Población rural y urbana
TLOC,Tamaño de la Localidad,Varchar,1,[1-4],"1 100,000 y más habitantes, 2 15,000 a 99,999 habitantes, 3 2,500 a 14,999 habitantes, 4 menor a 2500 habitantes"
ESTRATO,Estrato socioeconómico,Varchar,1,[1-4],"1 Bajo, 2 Medio bajo, 3 Medio alto, 4 Alto"
ENT,Entidad ,Varchar,2,[01-32],01-32 Entidad Federativa
